107,38,10.133,-85.9,-6,9.1
108,200,5.3158,-97.511,-8.2782,6.3308
108,201,8,-95,-6,2
108,36,12.5,-80.5,-5,13.5
108,37,10.412,-83.029,-6.0294,9.3235
108,38,9,-89,-6,11
109,200,9.1391,-93.47,-7.3739,7.2
109,36,12.771,-81.4,-5.7429,9.6571
109,37,16.667,-82,-5.3333,12.333
11,160,17.25,-88.6,-7.3,7.85
11,161,17.84,-89.98,-7.04,9.66
11,162,20.667,-89.667,-7,14
11,197,15.947,-88.383,-5.7021,9.5532
11,198,15.583,-90.417,-5.75,8.9167
110,200,10.806,-89.175,-6.2913,6.6311
110,36,14.575,-81.125,-5.625,10.475
111,200,10.1,-90.1,-6.4727,7.3545
111,35,13.179,-82.036,-5.7143,8.8214
111,36,18.429,-82.286,-5.5,11.571
112,199,8.5,-92.875,-6.875,7.25
112,200,8.4455,-93.04,-6.8911,6.8119
112,34,12,-83.333,-7.6667,6.6667
112,35,13.306,-83.167,-5.6389,8.6111
113,199,6.7742,-96.742,-7.8065,6.5484
113,200,7.5172,-96.138,-8.1724,7.5
113,34,9.7273,-85,-6.3333,8.8182
113,35,13.667,-82.333,-5.3333,11.667
114,199,6.4242,-97.03,-8.6465,6.1111
114,200,5.3636,-97.455,-8.6364,9
114,33,9.4545,-84,-6.0909,10
114,34,11.276,-83.517,-5.9655,8.931
115,199,7.2243,-95.85,-8.5327,6.8224
115,200,1,-94,-8,10
115,33,13.725,-83.15,-5.7,8.825
115,34,13,-84,-6,2
116,199,10.246,-94.557,-8.2787,7.3115
116,32,10.615,-83.231,-6.1538,9.4615
116,33,16.476,-82.905,-5.5238,9.2857
117,199,7.2667,-94.033,-8.8,6.4
117,32,13.951,-82.463,-5.9756,9.6341
118,199,8.069,-94.034,-7.5379,6.0276
118,31,21.231,-80.462,-5.5385,11.769
118,32,15.2,-82.35,-6.25,9.25
119,199,9.0495,-90.446,-7.604,6.5644
119,31,15.692,-81,-6.4615,10.692
119,32,21,-83.5,-6,1
12,159,19.289,-88.868,-6.6842,10.184
12,160,18.938,-90.438,-6.5938,11.688
12,161,13,-91,-6,13
12,197,16,-89,-6,15
12,198,18.28,-88.312,-5.5914,8.5161
12,199,19,-90,-5,2
120,199,10.55,-87.216,-8.2072,9.1622
120,31,11.324,-80.382,-6.4412,8.5294
121,199,9.3551,-91.15,-7.514,7.8411
121,30,9.25,-81.375,-6.75,6.25
121,31,9.0588,-80.853,-6.5,7.5
122,199,9.4724,-90.795,-6.4173,7.0787
122,30,13.132,-79.632,-6.4474,7.7368
122,31,9.5,-76.5,-5,4
123,198,18.75,-89.5,-6,13
123,199,13.716,-90.908,-6.1193,10.743
123,29,23,-76,-6,2
123,30,19.971,-77.971,-5.8235,9
124,198,21.868,-86.789,-5.6053,11.079
124,199,19.246,-86.261,-5.6304,11.471
124,29,22.433,-77.1,-5.4333,8.2667
124,30,20.375,-79.25,-6,10.125
125,198,20.716,-86.541,-5.3986,11.514
125,199,20.986,-84.932,-5.2703,11.946
125,29,25.189,-77.432,-5.4054,10.081
126,198,15.341,-92.249,-5.8049,9.0829
126,199,23,-89.429,-5.2857,13.429
126,28,23.813,-77.125,-5.25,9.625
126,29,24.304,-76.609,-5.087,8.3478
127,198,10.944,-92.298,-5.9435,7.9597
127,199,14.5,-92.5,-6,14
127,28,23.595,-79.135,-5.2162,9
128,198,12.122,-89.826,-6.0261,9.5565
128,27,17.4,-78.8,-5.8,8
128,28,23.657,-78.886,-5.3143,8.8571
129,198,13.513,-92.861,-6.2522,9.4609
129,27,21.926,-78.963,-5.5926,7.963
129,28,17.167,-81.667,-5,13.333
13,158,20.875,-86.25,-6.4063,9.1875
13,159,21.605,-87.079,-6.1842,10.237
13,198,18.952,-87.19,-5.5238,8.1429
13,199,21.833,-86.304,-5.2353,9.598
130,198,11.886,-94.643,-6.4714,8.4429
130,27,20.098,-77.39,-5.3659,8.6098
131,198,8.9804,-97.739,-7.183,6.9216
131,27,23.636,-73.394,-5.0606,8.9697
132,197,7.6667,-98.667,-8,5.3333
132,198,10.053,-97.897,-6.8227,7.4965
132,26,25.667,-69,-4.6667,5.6667
132,27,27.676,-72.135,-5,10.757
133,197,9.7636,-98.564,-6.8545,6.4727
133,198,9.4072,-98.281,-6.7919,6.6787
133,26,30.207,-69.586,-4.8966,9.0345
133,27,28.75,-72.75,-5.375,11.25
134,197,8.0296,-98.933,-7.1926,6.0963
134,198,2,-100,-7,2
134,26,29.324,-70,-4.8919,10.541
135,196,12.534,-95.644,-6.2329,7.726
135,197,9.2885,-97.712,-6.9808,6.1923
135,25,30.5,-69.5,-5.5,8.5
135,26,30.056,-69.167,-4.8056,10.917
136,195,14.6,-94.2,-5.75,8.25
136,196,13.454,-94.694,-5.9074,7.8056
136,25,30.31,-69,-4.7931,10.517
136,26,30.5,-69.3,-4.9,11
137,194,16.378,-90.459,-5.5946,8.4054
